start	end	text
0	2000	What are you doing with?
2000	4000	So, first time I will watch a record.
4000	8000	So, finally we set up Aboot's voice meter banana.
10000	11000	I guess.
11000	15000	Now, could it stream a quality level controls?
16000	18000	I thought we were doing an ebook rock.
19000	20000	This is the interrupt.
20000	22000	I'll cut a lot of votes by six.
22000	24000	I would talk about it partially over here.
24000	26000	I would talk about it.
26000	28000	I will talk.
28000	30000	You come here. Come back.
32000	34000	Aboot demonetized him.
34000	36000	Good old lady Aboot.
36000	38000	Respect your elders Aboot.
38000	40000	I'll respect you.
40000	42000	Look at this lady Rishi.
42000	44000	What will you do?
44000	45000	Shut up man.
45000	46000	You are already here.
46000	47000	That's a bad way.
47000	48000	I'll just make up.
48000	49000	This is the magic of makeup.
49000	50000	Why did you do this?
50000	52000	I am a subban.
52000	54000	I know you want to say true women's say help.
54000	55000	Look at me.
55000	57000	It's only because it's not true.
57000	58000	You know.
58000	60000	I can't express proper image.
63000	65000	Rishi, that's why you are flat.
65000	67000	Meanwhile, Roadhog will look over there.
67000	69000	Looking like Pakistan.
73000	74000	See.
74000	76000	Roadhog is eating champion.
76000	78000	I have picked out something.
78000	80000	I think I can do it.
80000	82000	Some left.
82000	84000	Meanwhile, Roadhog right.
85000	87000	Meanwhile, full team.
87000	88000	Where is it?
88000	89000	Okay.
89000	91000	It's a solution gone man.
95000	97000	I like how he's hiding.
97000	99000	He had that one filler over there.
99000	100000	Oh my god.
100000	101000	This is a nip.
104000	107000	Where is the other healer?
107000	109000	Is there another healer?
109000	110000	Roadhog.
110000	111000	He's left.
111000	112000	He's left.
112000	114000	I'm watching you now.
114000	115000	Roadhog.
115000	116000	He had no other healer.
116000	117000	Roadhog.
117000	118000	He's right.
118000	119000	Roadhog.
119000	120000	He's left.
120000	122000	He's left.
122000	124000	Rai and Billa.
124000	126000	Nater.
126000	129000	Mercy, Nater.
129000	131000	Rai and Billa.
131000	133000	Rai and Nater.
133000	134000	Rai and Nater.
134000	135000	I want it again.
135000	137000	I should go to my wedding.
137000	138000	He's right.
138000	140000	He's left.
142000	144000	I'm dead.
144000	145000	I'm dead.
145000	146000	Oh.
146000	149000	Who from where and why?
149000	151000	Mac.
151000	153000	Mac.
153000	155000	Mac and cheese.
155000	157000	Mac and cheese.
157000	159000	Mac and cheese.
159000	160000	Mac and cheese.
160000	163000	Have you ever had spicy Mac and cheese?
163000	165000	Mac and cheese.
165000	166000	That is fucking amazing.
166000	171000	Mac and cheese has to be normal.
171000	173000	it's dead
173000	175000	it's dead
175000	177000	yeah yeah it's dead
179000	181000	it's high enough but i have to talk to you
183000	187000	i heard the high noon i'm looking at it
187000	189000	it's very dark
189000	191000	it's nothing to see it
191000	193000	i'm not sure if i'm high enough
195000	197000	that was an easy fight
197000	199000	it didn't realize it was that easy but
201000	203000	i know
203000	205000	we did a lot of work there
205000	207000	boy it's supposed to be a 10 minute video
209000	211000	it's supposed to be a 10 minute video
211000	213000	i don't know if i'm sorry
213000	215000	it's already 10 minute mark
215000	217000	i don't know i'm sorry
217000	219000	our setup included should be 10 minutes
219000	221000	i enjoyed
221000	223000	i think 10 minutes match 1 minute
223000	225000	the matches
227000	229000	oh god
229000	231000	sorry it's not here
231000	233000	sorry it's not here
233000	235000	that's not in
237000	239000	sorry sorry
239000	241000	i'm sorry
241000	243000	i will see
247000	249000	i'm sorry
249000	251000	oh my god
251000	253000	i'm watching your back
253000	255000	then i have nothing to worry about
255000	257000	how did i remind you
257000	259000	i remember you're training
259000	261000	and we'll get through this
261000	263000	just for my back
263000	265000	you are recording
265000	267000	it's the second game
269000	271000	i got it
271000	273000	hello to the recording
273000	275000	i was just explaining how
275000	277000	sad this guy died
277000	279000	with how no clear
279000	281000	i got it
281000	285000	hey corner
285000	287000	hurry hurry
287000	289000	the ryan is to ryan's ghost
289000	291000	and this
291000	293000	this will heal
293000	295000	ryan is not that good this shield
295000	297000	ryan is not that good this shield
297000	299000	like you didn't hear ryan's ghost
301000	303000	ryan's bang
303000	305000	hello and there
305000	307000	go forward to work
307000	309000	hello hello
309000	311000	yes and not you man
311000	313000	i was standing in front of him
317000	319000	his umar even talking
319000	321000	he's unpushed you dog
321000	323000	and you push man
323000	325000	and you push the payload
325000	327000	push the payload
329000	331000	pay attention
331000	333000	by the way
333000	335000	hello
339000	341000	i got it by hard
341000	343000	it's a fight
347000	349000	oh my god
349000	351000	i'm fondly winning
351000	353000	i'm going to get rolled all over
353000	355000	you can someone come help me
355000	357000	i'm stuck by god
359000	361000	okay
361000	363000	Baron does Baron decide
363000	365000	hard it's a fight
365000	369000	i feel like
369000	371000	i was kind of pushing up forward
371000	373000	when you said
373000	375000	this push
375000	377000	because around the corner
377000	379000	was when everyone stayed on the standing
379000	381000	like my friend
381000	383000	i don't trust
383000	385000	i don't trust
385000	387000	i don't trust
387000	389000	i don't trust
389000	391000	i don't trust
391000	393000	i don't trust
393000	395000	i have it
395000	397000	i have it
397000	399000	i have it
411000	413000	oh my god
413000	415000	why did you hurt
415000	417000	i was going behind them
417000	419000	right
423000	425000	we shall have advantage
425000	427000	we can push
427000	429000	behind for the back piece
429000	431000	back piece
431000	433000	back piece
433000	435000	runes left
435000	437000	runes
437000	439000	runes
439000	441000	creeper came back
441000	443000	creeper came back
443000	445000	focus in the hard
445000	447000	nice
447000	449000	die
449000	451000	push
451000	453000	send it
453000	455000	there's a number on here
455000	457000	i can't see you
457000	459000	i'm stuck
459000	461000	for the
461000	463000	help me
463000	465000	i'll kill you
479000	481000	i messed up
481000	483000	i messed up
483000	485000	good
487000	489000	who's still there
489000	491000	We are not dying there.
491000	493000	No, I just left.
494000	495000	They are not here.
495000	496000	Die!
499000	501000	Oh, that guy switched line.
502000	503000	Okay, I'll switch as well.
510000	511000	Their hands are gonna die.
514000	516000	Reaper behind sir.
516000	517000	Who's one?
517000	518000	He left.
518000	519000	He left.
519000	520000	Okay.
520000	521000	Let's go top.
521000	522000	Let's come from here.
522000	523000	Follow me.
523000	524000	Follow me.
524000	525000	Okay, they're trying one.
525000	526000	Die, try one.
526000	527000	We have to go in.
527000	528000	We have to go in.
528000	529000	Go ahead.
529000	530000	Let's go.
530000	531000	Let's go.
537000	539000	The Reaper got me.
539000	540000	I can't man.
540000	541000	Okay.
548000	550000	It's good.
550000	551000	It's okay.
551000	552000	It's over.
552000	553000	I can't change it.
553000	554000	That's good.
554000	556000	They're trying to kill me.
556000	557000	They're trying to kill me.
557000	558000	They're trying to kill me.
558000	559000	Why did they try to kill me?
562000	564000	They're gonna die.
564000	565000	They're trying dead.
565000	566000	They're trying dead.
574000	575000	He got red.
578000	579000	Nice.
579000	580000	Nice.
